City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
687,Denpasar,ID,80.26,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
688,Roebourne,AU,87.93,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
690,Cerro Cama,PA,88.48,broken clouds,9.03,-79.905,Laguna de las mendoza
692,Alvarado,MX,85.28,few clouds,18.7667,-95.7667,Del Pastor
699,Buala,SB,81.41,light rain,-8.145,159.5921,Maringe Lagoon Lodge
700,Corralillo,CU,81.45,few clouds,22.9819,-80.5856,Hostal De Pedri
703,Novo Aripuana,BR,81.36,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
705,Danane,CI,75.7,clear sky,7.2596,-8.155,Lmd
708,Bonthe,SL,81.41,clear sky,7.5264,-12.505,Bonthe Holiday Village
709,Paka,MY,76.98,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
712,Bac Lieu,VN,75.69,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
714,Canarana,BR,76.46,light rain,-11.6847,-41.7689,POSTO E POUSADA CANARANA
715,Kununurra,AU,75.18,moderate rain,-15.7667,128.7333,Hotel Kununurra
